recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic,calories_per_serving,protein_ratio,carb_ratio,sugar_ratio,high_calorie
1,288.55,21.48,4.55,10.8,Meat,6,High,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
2,35.48,38.56,0.66,0.92,Vegetable,4,High,8.87,0.0229197807673144,0.9606377678126558,0.016442451420029897,0
3,914.28,42.68,3.09,2.88,Breakfast,1,Unknown,914.28,0.0591983556012333,0.8772867420349435,0.06351490236382322,1
4,97.03,30.56,38.63,0.02,Beverages,4,High,24.2575,0.0002889755815633579,0.44155468862881087,0.5581563357896259,0
5,27.05,1.85,0.8,0.53,Beverages,4,Unknown,6.7625,0.16666666666666663,0.581761006289308,0.2515723270440251,0
6,691.15,3.46,1.65,53.93,One Dish Meal,2,High,345.575,0.9134485094850948,0.05860433604336043,0.027947154471544715,0
7,183.94,47.95,9.75,46.71,Meat,4,Unknown,45.985,0.4473709414807011,0.45924719854420076,0.09338185997509818,0
8,299.14,3.17,0.4,32.4,Lunch & Snacks,4,Unknown,74.785,0.9007506255212677,0.08812899638587712,0.011120378092855158,0
9,538.52,3.78,3.37,3.79,Meat,6,High,89.75333333333333,0.346435100548446,0.3455210237659963,0.3080438756855576,0
10,248.28,48.54,3.99,113.85,Meat,2,Unknown,124.14,0.6842769563649477,0.29174179588892896,0.023981247746123334,0
11,170.12,17.63,4.1,0.91,Beverages,1,Unknown,170.12,0.04019434628975266,0.7787102473498234,0.18109540636042404,0
12,155.8,8.27,9.78,11.55,Breakfast,6,Unknown,25.96666666666667,0.39020270270270274,0.2793918918918919,0.3304054054054054,0
13,274.63,23.49,1.56,2.57,Vegetable,4,High,68.6575,0.09304851556842868,0.8504706734250543,0.05648081100651702,0
14,25.23,11.51,10.32,9.57,Vegetable,4,High,6.3075,0.3047770700636943,0.36656050955414016,0.32866242038216564,0
15,217.14,6.69,10.0,15.17,Meat,4,High,54.285,0.47614563716258634,0.20998116760828628,0.31387319522912743,0
16,316.45,2.65,4.68,79.71,Meat,6,High,52.74166666666667,0.9157858455882353,0.030445772058823532,0.05376838235294118,0
17,454.27,1.87,2.95,61.07,Meat,2,High,227.135,0.9268477765973593,0.028380634390651086,0.04477158901198968,0
18,1695.82,0.1,0.39,33.17,Meat,1,High,1695.82,0.9854426619132501,0.0029708853238265003,0.01158645276292335,1
